title,body,labels,assignees,milestone
"1.01: Create Google Account or reuse an existing one","Prerequisites: None. Go to https://accounts.google.com/signup and create a new Google (gmail.com) account to be used for the Device Access project. Record the username and recovery email for future reference.","setup,backend",sayanghosh123,v1
"1.02: Pay Google Device Access Fee","Prerequisites: 1.01. Visit the Device Access Console at https://console.nest.google.com/device-access and sign in with your Google account. Click 'Get Started', follow the prompts, and pay the US$5 one-time fee using your preferred payment method. Save the payment confirmation email or screenshot for documentation.","setup,backend",sayanghosh123,v1
"1.03: Register Device Access Project","Prerequisites: 1.02. In the Device Access Console (https://console.nest.google.com/device-access), click 'Create Project'. Enter a project name, accept the terms, and complete the process. Once created, record the Project ID and project name. Reference: https://developers.google.com/nest/device-access/project","setup,backend",sayanghosh123,v1
"1.04: Enable Device Access API","Prerequisites: 1.03. Go to the Google Cloud Console at https://console.cloud.google.com/apis/library/smartdevicemanagement.googleapis.com. Select your Device Access project from the dropdown. Click 'Enable' to activate the Smart Device Management (SDM) API. Reference: https://developers.google.com/nest/device-access/enable-api","setup,backend",sayanghosh123,v1
"1.05: Create GCP Project","Prerequisites: 1.03. In the Google Cloud Console (https://console.cloud.google.com/projectcreate), click 'New Project'. Enter a name and select your organization (if applicable). Click 'Create'. Record the Project ID. Reference: https://cloud.google.com/resource-manager/docs/creating-managing-projects","setup,backend",sayanghosh123,v1
"1.06: Create OAuth 2.0 Credentials","Prerequisites: 1.05, 1.04. In the Google Cloud Console, go to https://console.cloud.google.com/apis/credentials. Click 'Create Credentials' > 'OAuth client ID'. Select 'Web application', set a name, and add authorized redirect URIs as needed. Click 'Create' and download the client ID and secret. Store securely. Reference: https://developers.google.com/identity/protocols/oauth2","setup,backend",sayanghosh123,v1
"1.07: Link Google Account to Device Access Project","Prerequisites: 1.06. In the Device Access Console (https://console.nest.google.com/device-access), select your project. Click 'Add Account', follow the prompts to link your Google account, and grant required permissions. Confirm linking is successful and document the process. Reference: https://developers.google.com/nest/device-access/account-linking","setup,backend",sayanghosh123,v1
"1.08: Create Azure Account","Prerequisites: None. Go to https://azure.microsoft.com/en-au/free/ and sign up for a new Azure account if you don't already have one. Record the account email and subscription details.","setup,backend",sayanghosh123,v1
"1.09: Create Azure Blob Storage Account","Prerequisites: 1.08. In the Azure Portal (https://portal.azure.com), search for 'Storage accounts' and click 'Create'. Fill in the required fields, select 'BlobStorage' as the account kind, and complete the wizard. Record the storage account name and region. Reference: https://learn.microsoft.com/en-us/azure/storage/blobs/storage-quickstart-blobs-portal","setup,backend",sayanghosh123,v1
"1.10: Create Azure Storage Container","Prerequisites: 1.09. In the Azure Portal, navigate to your Storage Account. Click 'Containers' > 'New Container'. Name it 'events' (or similar) and set access level to 'Private'. Record the container name. Reference: https://learn.microsoft.com/en-us/azure/storage/blobs/storage-quickstart-blobs-portal#create-a-container","setup,backend",sayanghosh123,v1
"1.11: Generate Azure Storage Access Keys","Prerequisites: 1.09. In the Azure Portal, go to your Storage Account > 'Access keys'. Copy both primary and secondary keys. Store them securely for backend integration. Reference: https://learn.microsoft.com/en-us/azure/storage/common/storage-account-keys-manage","setup,backend",sayanghosh123,v1
"1.12: Design Event Metadata Schema","Prerequisites: None. Define a JSON schema for event metadata including: event_id, timestamp, event_type, device_id, device_name, snapshot_url (optional), and other relevant fields. Save as schema.json in the repo. Reference: https://json-schema.org/learn/getting-started-step-by-step.html","design,backend",sayanghosh123,v1
"1.13: Set Up GitHub Repository","Prerequisites: None. Go to https://github.com/new and create a new repository. Add folders: /backend, /frontend, /docs, /scripts. Add a README.md with a project overview and setup instructions.","setup,documentation",sayanghosh123,v1
"2.01: Implement OAuth 2.0 Authentication Module","Prerequisites: 1.06. In your backend code, use the OAuth client ID and secret to implement authentication with the SDM API. Use a library like google-auth-library for Node.js or google-auth for Python. Implement token storage and refresh logic. Test with a sample API call. Reference: https://developers.google.com/identity/protocols/oauth2","backend,api",sayanghosh123,v1
"2.02: Set Up Google Pub/Sub Subscription","Prerequisites: 2.01. In the Google Cloud Console (https://console.cloud.google.com/cloudpubsub), create a new Pub/Sub topic (e.g., 'nest-events'). Then create a subscription to this topic. Record topic and subscription names. Reference: https://cloud.google.com/pubsub/docs/quickstart-console","backend,api",sayanghosh123,v1
"2.03: Implement Pub/Sub Listener Service","Prerequisites: 2.02. Write a backend service (Node.js, Python, etc.) that connects to the Pub/Sub subscription. Use the Google Cloud Pub/Sub client library to listen for messages. Log all received messages to a file for debugging. Reference: https://cloud.google.com/pubsub/docs/pull","backend,api",sayanghosh123,v1
"2.04: Parse Event Payloads","Prerequisites: 2.03, 1.12. Implement code to parse incoming event payloads according to the event metadata schema. Extract fields such as event_id, timestamp, event_type, device_id, etc. Reference: https://developers.google.com/nest/device-access/traits","backend,api",sayanghosh123,v1
"2.05: Normalize Event Data","Prerequisites: 2.04. Write logic to normalize parsed event data, ensuring consistent formatting for all event types (motion, person, sound, etc.). Output normalized data as JSON objects.","backend,api",sayanghosh123,v1
"2.06: Save Event Metadata to Azure Blob Storage","Prerequisites: 2.05, 1.10, 1.11. Use Azure SDK (https://learn.microsoft.com/en-us/azure/storage/blobs/storage-quickstart-blobs-nodejs) to save normalized event metadata as JSON files in the Azure Blob Storage container. Organize files by date and device.","backend,storage",sayanghosh123,v1
"2.07: Download and Store Event Snapshots","Prerequisites: 2.05, 2.06. For events with snapshot URLs, use HTTP requests to download images and upload them to Azure Blob Storage. Update event metadata with the blob URL. Reference: https://developers.google.com/nest/device-access/traits/camera-event-image","backend,storage",sayanghosh123,v1
